2to3 3.11.2-1
kmod 30+20221128-1
kpartx 0.9.4-3+deb12u1
lame 3.100-6
ldmtool 0.2.5-1
ldnsutils 1.8.3-1+b1
less 590-2
lftp 4.9.2-2+b1
libaa1 1.4p5-50
libaacs0 0.11.1-2
libabsl20220623 20220623.1-1
libacl1 2.3.1-3
libadwaita-1-0 1.2.2-1
libafflib0v5 3.7.20-1
libaio1 0.3.113-4
libalgorithm-diff-perl 1.201-1
libalgorithm-diff-xs-perl 0.04-8+b1
libalgorithm-merge-perl 0.08-5
libaom3 3.6.0-1
libapparmor1 3.0.8-3
libapt-pkg-perl 0.1.40+b2
libapt-pkg6.0 2.6.1
libarchive-tools 3.6.2-1
libarchive13 3.6.2-1
libargon2-1 0~20171227-0.3+deb12u1
libasan8 12.2.0-14
libasound2 1.2.8-1+b1
libasound2-data 1.2.8-1
libasound2-plugins 1.2.7.1-1
libassuan0 2.5.5-5
libasyncns0 0.8-6+b3
libatasmart4 0.19-5
libatk-bridge2.0-0 2.46.0-5
libatk1.0-0 2.46.0-5
libatkmm-1.6-1v5 2.28.3-1
libatm1 1:2.5.1-4+b2
libatomic1 12.2.0-14
libatspi2.0-0 2.46.0-5
libattr1 1:2.5.1-4
libaudit-common 1:3.0.9-1
libaudit1 1:3.0.9-1
libaugeas0 1.14.0-1
libauthen-sasl-perl 2.1600-3
libavahi-client3 0.8-10
libavahi-common-data 0.8-10
libavahi-common3 0.8-10
libavahi-core7 0.8-10
libavahi-glib1 0.8-10
libavahi-ui-gtk3-0 0.8-10
libavc1394-0 0.5.4-5
libavcodec59 7:5.1.4-0+deb12u1
libavif15 0.11.1-1
libavutil57 7:5.1.4-0+deb12u1
libayatana-appindicator3-1 0.5.92-1
libayatana-ido3-0.4-0 0.9.3-1
libayatana-indicator3-7 0.9.3-1
libb2-1 0.98.1-1.1
libbdplus0 0.2.0-3
libbfio1 20170123-6
libbinutils 2.40-2
libblas3 3.11.0-2
libblkid1 2.38.1-5+b1
libblockdev-crypto2 2.28-2
libblockdev-fs2 2.28-2
libblockdev-loop2 2.28-2
libblockdev-part-err2 2.28-2
libblockdev-part2 2.28-2
libblockdev-swap2 2.28-2
libblockdev-utils2 2.28-2
libblockdev2 2.28-2
libbluetooth3 5.66-1+deb12u1
libbluray2 1:1.3.4-1
libboost-iostreams1.74.0 1.74.0+ds1-21
libboost-thread1.74.0 1.74.0+ds1-21
libbpf1 1:1.1.0-1
libbrlapi0.8 6.5-7+deb12u1
libbrotli1 1.0.9-2+b6
libbsd0 0.11.7-2
libburn4 1.5.4-1
libbz2-1.0 1.0.8-5+b1
libc-bin 2.36-9+deb12u3
libc-dev-bin 2.36-9+deb12u3
libc-devtools 2.36-9+deb12u3
libc-l10n 2.36-9+deb12u3
libc6 2.36-9+deb12u3
libc6-dev 2.36-9+deb12u3
libcaca0 0.99.beta20-3
libcacard0 1:2.8.0-3
libcairo-gobject2 1.16.0-7
libcairo-script-interpreter2 1.16.0-7
libcairo2 1.16.0-7
libcairomm-1.0-1v5 1.14.4-2
libcanberra-gtk3-0 0.30-10
libcanberra-gtk3-module 0.30-10
libcanberra0 0.30-10
libcap-ng-utils 0.8.3-1+b3
libcap-ng0 0.8.3-1+b3
libcap2 1:2.66-4
libcap2-bin 1:2.66-4
libcapstone4 4.0.2-5
libcbor0.8 0.8.0-2+b1
libcc1-0 12.2.0-14
libccid 1.5.2-1
libcdparanoia0 3.10.2+debian-14
libclone-perl 0.46-1
libcloudproviders0 0.3.1-2
libcodec2-1.0 1.0.5-1
libcolord2 1.4.6-2.2
libcolorhug2 1.4.6-2.2
libcom-err2 1.47.0-2
libconfig9 1.5-0.4
libcrypt-dev 1:4.4.33-2
libcrypt1 1:4.4.33-2
libcryptsetup12 2:2.6.1-4~deb12u1
libctf-nobfd0 2.40-2
libctf0 2.40-2
libcups2 2.4.2-3+deb12u5
libcurl3-gnutls 7.88.1-10+deb12u5
libcurl4 7.88.1-10+deb12u5
libcwidget4 0.5.18-6
libdaemon0 0.14-7.1
libdata-dump-perl 1.25-1
libdate-manip-perl 6.91-1
libdatrie1 0.2.13-2+b1
libdav1d6 1.0.0-2
libdaxctl1 76.1-1
libdb5.3 5.3.28+dfsg2-1
libdbus-1-3 1.14.10-1~deb12u1
libdbus-glib-1-2 0.112-3
libdbusmenu-glib4 18.10.20180917~bzr492+repack1-3
libdbusmenu-gtk3-4 18.10.20180917~bzr492+repack1-3
libdconf1 0.40.0-4
libde265-0 1.0.11-1+deb12u1
libdebconfclient0 0.270
libdecor-0-0 0.1.1-2
libdecor-0-plugin-1-cairo 0.1.1-2
libdeflate0 1.14-1
libdevmapper-event1.02.1 2:1.02.185-2
libdevmapper1.02.1 2:1.02.185-2
libdigest-bubblebabble-perl 0.02-2.1
libdigest-hmac-perl 1.04+dfsg-2
libdislocker0.7 0.7.3-3
libdmraid1.0.0.rc16 1.0.0.rc16-12
libdpkg-perl 1.21.22
libdrm-amdgpu1 2.4.114-1+b1
libdrm-common 2.4.114-1
libdrm-intel1 2.4.114-1+b1
libdrm-nouveau2 2.4.114-1+b1
libdrm-radeon1 2.4.114-1+b1
libdrm2 2.4.114-1+b1
libduktape207 2.7.0-2
libdv4 1.0.0-15
libdw1 0.188-2.1
libecryptfs1 111-6
libedit2 3.1-20221030-2
libefiboot1 37-6
libefivar1 37-6
libegl-mesa0 22.3.6-1+deb12u1
libegl1 1.6.0-1
libelf1 0.188-2.1
libencode-locale-perl 1.05-3
libepoxy0 1.5.10-1
liberror-perl 0.17029-2
libestr0 0.1.11-1
libev4 1:4.33-1
libevdev2 1.13.0+dfsg-1
libevent-2.1-7 2.1.12-stable-8
libevent-core-2.1-7 2.1.12-stable-8
libewf2 20140813-1+b1
libexecs0 1.3-2
libexif12 0.6.24-1+b1
libexo-2-0 4.18.0-1
libexo-common 4.18.0-1
libexpat1 2.5.0-1
libext2fs2 1.47.0-2
